leg,instrument_name,strike,option_type,expiry,entry_price,entry_iv,entry_underlying,entry_gap_hours,data_quality_ok,session_start,session_close,session_type,session_dow,spot_at_open
atm_call,BTC-2JAN21-29000-C,29000.0,C,2021-01-02 08:00:00+00:00,0.0195,0.7862,29163.91,0.09,True,2021-01-01 08:00:00+00:00,2021-01-02 08:00:00+00:00,weekday,friday,29074.87
atm_put,BTC-2JAN21-29000-P,29000.0,P,2021-01-02 08:00:00+00:00,0.012,0.7189,29172.14,0.08,True,2021-01-01 08:00:00+00:00,2021-01-02 08:00:00+00:00,weekday,friday,29074.87
otm_call,BTC-2JAN21-32000-C,32000.0,C,2021-01-02 08:00:00+00:00,0.0005,0.9109,29164.83,0.01,True,2021-01-01 08:00:00+00:00,2021-01-02 08:00:00+00:00,weekday,friday,29074.87
otm_put,BTC-2JAN21-26000-P,26000.0,P,2021-01-02 08:00:00+00:00,0.0005,1.113,29116.25,0.52,True,2021-01-01 08:00:00+00:00,2021-01-02 08:00:00+00:00,weekday,friday,29074.87
atm_call,BTC-3JAN21-30000-C,30000.0,C,2021-01-03 08:00:00+00:00,0.0135,0.7532,29864.81,0.89,True,2021-01-02 08:00:00+00:00,2021-01-03 08:00:00+00:00,weekend,saturday,29911.15
atm_put,BTC-3JAN21-30000-P,30000.0,P,2021-01-03 08:00:00+00:00,0.0215,0.823,29742.69,0.53,True,2021-01-02 08:00:00+00:00,2021-01-03 08:00:00+00:00,weekend,saturday,29911.15
otm_call,BTC-3JAN21-32250-C,32250.0,C,2021-01-03 08:00:00+00:00,0.0005,0.815,29770.82,0.57,True,2021-01-02 08:00:00+00:00,2021-01-03 08:00:00+00:00,weekend,saturday,29911.15
otm_put,BTC-3JAN21-27750-P,27750.0,P,2021-01-03 08:00:00+00:00,0.0005,0.7815000000000001,29847.5,1.17,True,2021-01-02 08:00:00+00:00,2021-01-03 08:00:00+00:00,weekend,saturday,29911.15
atm_call,BTC-4JAN21-34500-C,34500.0,C,2021-01-04 08:00:00+00:00,0.0215,1.3394,34074.91,1.75,True,2021-01-03 08:00:00+00:00,2021-01-04 08:00:00+00:00,weekend,sunday,34398.96
atm_put,BTC-4JAN21-34750-P,34750.0,P,2021-01-04 08:00:00+00:00,0.0295,1.2774,34513.29,0.9,True,2021-01-03 08:00:00+00:00,2021-01-04 08:00:00+00:00,weekend,sunday,34398.96
otm_call,BTC-4JAN21-37500-C,37500.0,C,2021-01-04 08:00:00+00:00,0.0065,1.5508000000000002,34528.81,0.93,True,2021-01-03 08:00:00+00:00,2021-01-04 08:00:00+00:00,weekend,sunday,34398.96
otm_put,BTC-4JAN21-29500-P,29500.0,P,2021-01-04 08:00:00+00:00,0.0005,1.4177000000000002,34137.08,1.6,True,2021-01-03 08:00:00+00:00,2021-01-04 08:00:00+00:00,weekend,sunday,34398.96
atm_call,BTC-5JAN21-32000-C,32000.0,C,2021-01-05 08:00:00+00:00,0.013,1.287,30945.02,1.62,True,2021-01-04 08:00:00+00:00,2021-01-05 08:00:00+00:00,weekday,monday,32051.35
atm_put,BTC-5JAN21-32000-P,32000.0,P,2021-01-05 08:00:00+00:00,0.038,1.1125,31182.78,1.83,True,2021-01-04 08:00:00+00:00,2021-01-05 08:00:00+00:00,weekday,monday,32051.35
otm_call,BTC-5JAN21-37000-C,37000.0,C,2021-01-05 08:00:00+00:00,0.0005,1.5676,31200.48,1.56,True,2021-01-04 08:00:00+00:00,2021-01-05 08:00:00+00:00,weekday,monday,32051.35
otm_put,BTC-5JAN21-29500-P,29500.0,P,2021-01-05 08:00:00+00:00,0.009,1.3266999999999998,30945.63,1.63,True,2021-01-04 08:00:00+00:00,2021-01-05 08:00:00+00:00,weekday,monday,32051.35
atm_call,BTC-6JAN21-31000-C,31000.0,C,2021-01-06 08:00:00+00:00,0.027,1.0683,31277.97,0.44,True,2021-01-05 08:00:00+00:00,2021-01-06 08:00:00+00:00,weekday,tuesday,31225.9
atm_put,BTC-6JAN21-31000-P,31000.0,P,2021-01-06 08:00:00+00:00,0.023,1.0877,30965.26,0.04,True,2021-01-05 08:00:00+00:00,2021-01-06 08:00:00+00:00,weekday,tuesday,31225.9
otm_call,BTC-6JAN21-36000-C,36000.0,C,2021-01-06 08:00:00+00:00,0.0005,1.3782,30920.54,0.02,True,2021-01-05 08:00:00+00:00,2021-01-06 08:00:00+00:00,weekday,tuesday,31225.9
otm_put,BTC-6JAN21-27000-P,27000.0,P,2021-01-06 08:00:00+00:00,0.001,1.5621,31321.13,0.21,True,2021-01-05 08:00:00+00:00,2021-01-06 08:00:00+00:00,weekday,tuesday,31225.9
atm_call,BTC-7JAN21-34500-C,34500.0,C,2021-01-07 08:00:00+00:00,0.024,1.3122999999999998,34241.74,0.5,True,2021-01-06 08:00:00+00:00,2021-01-07 08:00:00+00:00,weekday,wednesday,34653.07
atm_put,BTC-7JAN21-34500-P,34500.0,P,2021-01-07 08:00:00+00:00,0.0265,1.1715,34332.17,0.52,True,2021-01-06 08:00:00+00:00,2021-01-07 08:00:00+00:00,weekday,wednesday,34653.07
otm_call,BTC-7JAN21-39500-C,39500.0,C,2021-01-07 08:00:00+00:00,0.0035,1.849,34431.91,0.6,True,2021-01-06 08:00:00+00:00,2021-01-07 08:00:00+00:00,weekday,wednesday,34653.07
otm_put,BTC-7JAN21-29500-P,29500.0,P,2021-01-07 08:00:00+00:00,0.0005,1.4978,34585.18,0.77,True,2021-01-06 08:00:00+00:00,2021-01-07 08:00:00+00:00,weekday,wednesday,34653.07
atm_call,BTC-8JAN21-37000-C,37000.0,C,2021-01-08 08:00:00+00:00,0.028,1.5743,36617.49,0.33,True,2021-01-07 08:00:00+00:00,2021-01-08 08:00:00+00:00,weekday,thursday,37253.57
atm_put,BTC-8JAN21-37000-P,37000.0,P,2021-01-08 08:00:00+00:00,0.0365,1.4946000000000002,36601.44,0.34,True,2021-01-07 08:00:00+00:00,2021-01-08 08:00:00+00:00,weekday,thursday,37253.57
otm_call,BTC-8JAN21-44000-C,44000.0,C,2021-01-08 08:00:00+00:00,0.001,1.8064,36615.37,0.35,True,2021-01-07 08:00:00+00:00,2021-01-08 08:00:00+00:00,weekday,thursday,37253.57
otm_put,BTC-8JAN21-31500-P,31500.0,P,2021-01-08 08:00:00+00:00,0.0015,1.8829,37252.16,0.79,True,2021-01-07 08:00:00+00:00,2021-01-08 08:00:00+00:00,weekday,thursday,37253.57
atm_call,BTC-9JAN21-38500-C,38500.0,C,2021-01-09 08:00:00+00:00,0.03,1.344,38643.02,0.43,True,2021-01-08 08:00:00+00:00,2021-01-09 08:00:00+00:00,weekday,friday,38699.06
atm_put,BTC-9JAN21-38500-P,38500.0,P,2021-01-09 08:00:00+00:00,0.0245,1.2557,38585.97,0.59,True,2021-01-08 08:00:00+00:00,2021-01-09 08:00:00+00:00,weekday,friday,38699.06
otm_call,BTC-9JAN21-44500-C,44500.0,C,2021-01-09 08:00:00+00:00,0.0025,1.7063,38781.55,0.37,True,2021-01-08 08:00:00+00:00,2021-01-09 08:00:00+00:00,weekday,friday,38699.06
otm_put,BTC-9JAN21-33000-P,33000.0,P,2021-01-09 08:00:00+00:00,0.002,1.8542,38468.45,0.76,True,2021-01-08 08:00:00+00:00,2021-01-09 08:00:00+00:00,weekday,friday,38699.06
atm_call,BTC-10JAN21-40000-C,40000.0,C,2021-01-10 08:00:00+00:00,0.031,1.6139,39762.63,0.13,True,2021-01-09 08:00:00+00:00,2021-01-10 08:00:00+00:00,weekend,saturday,40214.91
