block_start,train_sessions,train_sharpe,n_trades,z_window,z_threshold
2023-12-30 08:00:00+00:00,365,5.499677035332877,4,45,1.0
2024-01-29 08:00:00+00:00,395,2.918784705333026,3,45,1.0
2024-02-28 08:00:00+00:00,425,1.2438050565211296,8,45,1.0
2024-03-29 08:00:00+00:00,455,1.146753133645174,2,45,1.0
2024-04-28 08:00:00+00:00,485,1.711417613360019,7,60,0.75
2024-05-28 08:00:00+00:00,515,1.6167279586760188,2,20,1.5
2024-06-27 08:00:00+00:00,545,1.7827541771441389,3,20,1.5
2024-07-26 08:00:00+00:00,575,2.084256219425577,2,20,1.5
2024-08-25 08:00:00+00:00,605,1.7169692405046382,3,20,1.5
2024-09-24 08:00:00+00:00,635,1.2606096731191851,4,60,0.75
2024-10-24 08:00:00+00:00,665,1.2186943942276542,6,60,0.75
2024-11-23 08:00:00+00:00,695,1.0217014379811704,1,60,0.75
2024-12-23 08:00:00+00:00,725,1.058086787734855,7,60,0.75
2025-01-22 08:00:00+00:00,755,1.3363166271536044,0,20,1.5
2025-02-21 08:00:00+00:00,785,1.3590117285618675,3,60,0.75
2025-03-23 08:00:00+00:00,815,1.3385998013054354,6,60,0.75
2025-04-22 08:00:00+00:00,845,1.4652378519941238,2,60,0.75
2025-05-21 08:00:00+00:00,875,1.4691825476252787,6,60,0.75
2025-06-20 08:00:00+00:00,905,1.4463918465983854,1,20,1.5
2025-07-20 08:00:00+00:00,935,1.334508377631349,3,20,1.5
2025-08-19 08:00:00+00:00,965,1.5348113651805209,2,20,1.5
2025-09-18 08:00:00+00:00,995,1.560738895976403,0,20,1.5
2025-10-17 08:00:00+00:00,1025,1.5383698477347811,2,20,1.5
2025-11-16 08:00:00+00:00,1055,1.1523236127032561,2,20,1.5
2025-12-16 08:00:00+00:00,1085,0.9479428105583856,2,20,1.5
